30.11 19:30:36 Failed to open device \\.\COM19, err 2
23.01 18:51:14 Failed to open device \\.\COM21, err 2
15.03 06:47:18 Failed to open device \\.\COM10, err 2
15.03 06:47:23 Failed to open device \\.\COM10, err 2
22.03 17:25:12 Failed to open device \\.\COM10, err 2
23.03 16:52:36 Failed to open device \\.\COM10, err 2
23.03 16:52:36 Failed to open device \\.\COM10, err 2
24.03 15:43:21 Failed to open device \\.\COM10, err 2
24.03 15:43:21 Failed to open device \\.\COM10, err 2
24.03 15:43:37 Failed to open device \\.\COM10, err 2
24.03 15:43:37 Failed to open device \\.\COM10, err 2
24.03 15:43:54 Failed to open device \\.\COM10, err 2
24.03 15:43:54 Failed to open device \\.\COM10, err 2
25.03 00:37:45 Failed to open device \\.\COM10, err 170
04.05 13:01:49 Failed to open device \\.\COM10, err 2
04.05 13:44:44 Failed to open device \\.\COM10, err 2
04.05 13:44:44 Failed to open device \\.\COM10, err 2
04.05 17:01:03 Failed to open device \\.\COM15, err 2
04.05 17:01:03 Failed to open device \\.\COM15, err 2
